# Timer data started: Fri Mar 17 18:29:48 2023
# timer(10 ns), starts, total starts, total stops
3136, 250, 240099, 1038
35, 165, 240264, 1039
308, 153, 240417, 1040
227, 807, 241224, 1041
136, 3, 241227, 1042
151, 26, 241253, 1043
43, 252, 241505, 1044
2303, 187, 241692, 1045
925, 965, 242657, 1046
2763, 492, 243149, 1047
62, 28, 243177, 1048
1978, 252, 243429, 1049
633, 173, 243602, 1050
81, 190, 243792, 1051
255, 62, 243854, 1052
12, 111, 243965, 1053
377, 710, 244675, 1054
173, 110, 244785, 1055
75, 303, 245088, 1056
119, 63, 245151, 1057
66, 365, 245516, 1058
1389, 314, 245830, 1059
344, 95, 245925, 1060
472, 88, 246013, 1061
373, 97, 246110, 1062
1029, 98, 246208, 1063
2184, 144, 246352, 1064
2347, 711, 247063, 1065
119, 117, 247180, 1066
54, 59, 247239, 1067
164, 261, 247500, 1068
1827, 22, 247522, 1069
2382, 549, 248071, 1070
1019, 289, 248360, 1071
24, 334, 248694, 1072
128, 82, 248776, 1073
198, 327, 249103, 1074
204, 282, 249385, 1075
10, 485, 249870, 1076
160, 60, 249930, 1077
1276, 218, 250148, 1078
259, 428, 250576, 1079
226, 481, 251057, 1080
207, 15, 251072, 1081
75, 227, 251299, 1082
22, 82, 251381, 1083
232, 428, 251809, 1084
3008, 159, 251968, 1085
384, 160, 252128, 1086
281, 16, 252144, 1087
1998, 42, 252186, 1088
28, 308, 252494, 1089
371, 4, 252498, 1090
1375, 548, 253046, 1091
3848, 164, 253210, 1092
3876, 574, 253784, 1093
365, 31, 253815, 1094
341, 11, 253826, 1095
91, 114, 253940, 1096
153, 74, 254014, 1097
807, 743, 254757, 1098
53, 24, 254781, 1099
1715, 176, 254957, 1100
133, 8, 254965, 1101
320, 52, 255017, 1102
422, 407, 255424, 1103
87, 153, 255577, 1104
3532, 91, 255668, 1105
3102, 188, 255856, 1106
298, 231, 256087, 1107
